L-tyrosine	4	2	4	3	5	4	3	4	2	4	4	3	2	4	3	5	4	3	3	4	4	3	4	3	3	3	2	3	3	3	4	3	4	0	3	4	1	3	4	4	3	4	2	6	3
Xanthine	5	4	1	4	4	5	4	5	4	4	4	2	3	5	5	4	4	3	4	4	3	4	5	4	3	3	3	4	4	2	4	4	5	3	0	4	3	4	5	4	4	5	3	6	3
N-acetylneuraminate	4	3	5	3	5	2	4	5	3	4	4	4	4	4	4	5	2	4	3	4	4	3	3	4	5	4	3	3	3	4	3	4	4	4	4	0	4	3	4	5	3	6	4	7	3
L-phenylalanine	4	2	4	3	5	4	4	4	2	4	4	3	2	4	3	5	4	3	3	4	4	3	4	3	3	3	2	3	3	3	4	4	4	1	3	4	0	3	4	4	3	4	2	6	4
choline	5	3	5	4	5	4	4	4	3	4	4	4	3	4	4	5	3	3	3	5	4	4	3	4	4	3	3	2	3	4	3	4	5	3	4	3	3	0	5	3	3	5	3	5	4
tiglyl carnitine	2	4	6	1	6	5	5	6	4	2	6	6	4	4	6	6	4	5	4	2	2	3	5	5	5	5	4	5	4	5	2	5	2	4	5	4	4	5	0	4	4	7	5	6	6
creatine	5	4	4	5	6	6	3	5	4	5	5	4	4	6	5	5	4	3	5	5	5	5	5	4	3	4	3	3	3	4	5	3	5	4	4	5	4	3	4	0	4	6	4	2	4
N-acetyl-L-alanine	4	3	5	3	4	3	4	5	2	3	5	4	3	3	4	4	3	3	2	4	3	4	4	3	4	4	2	3	2	4	2	4	4	3	4	3	3	3	4	4	0	5	3	6	3
D-ribitol	7	4	6	6	7	6	6	7	5	6	6	4	4	6	5	5	6	5	5	6	6	5	5	5	5	5	4	5	5	6	6	6	7	4	5	6	4	5	7	6	5	0	4	8	6
L-tryptophan	5	2	4	4	5	4	3	4	2	4	4	3	2	4	3	5	4	3	3	4	4	3	4	3	3	3	2	3	3	3	4	4	5	2	3	4	2	3	5	4	3	4	0	6	4
creatinine	7	6	6	7	8	8	5	7	6	7	7	6	6	8	7	7	6	5	7	7	7	7	7	6	5	6	5	5	5	6	7	5	7	6	6	7	6	5	6	2	6	8	6	0	6
dopamine 3-O-sulfate	6	4	4	5	5	4	3	5	4	5	4	4	4	4	5	5	4	4	3	5	4	5	5	4	4	3	3	4	3	3	4	3	6	3	3	3	4	4	6	4	3	6	4	6	0
