(S)-malate(2-)	5	2	4	4	7	4	4	5	5	6	6	5	6	3	4	6	0	5	5	4	6	2	3	7	4	5	3	5	3	5	4	7	2	5	3	2	6	5	3	5	2	5	4
glycocholate	5	5	7	7	6	7	6	4	5	5	9	9	5	6	7	8	5	0	4	7	5	5	6	5	6	3	4	4	6	4	6	4	5	8	5	5	5	5	5	4	5	7	7
Citrate	5	5	7	4	4	3	7	8	8	3	9	8	3	1	7	6	5	4	0	7	3	5	6	4	5	8	6	2	6	2	7	6	5	8	6	5	3	5	6	2	5	8	7
propionyl-carnitine	2	4	6	1	9	6	6	7	7	2	8	7	8	5	6	8	4	7	7	0	8	4	5	4	5	7	5	7	5	7	6	2	4	7	5	4	8	2	5	7	4	7	6
adipoyl carnitine	2	6	8	1	5	4	8	9	9	2	10	9	2	4	8	7	6	5	3	8	0	6	7	5	6	9	7	3	7	3	8	2	6	9	7	6	4	2	7	3	6	9	8
3-methyl-2-oxopentanoate	5	2	4	4	7	4	4	5	5	6	6	5	6	3	4	6	2	5	5	4	6	0	3	7	4	5	3	5	3	5	4	7	2	5	3	2	6	5	3	5	2	5	4
D-glycerate	6	3	5	5	8	5	5	6	6	7	7	6	7	4	5	7	3	6	6	5	7	3	0	8	5	6	4	6	4	6	5	8	3	6	4	3	7	6	4	6	3	6	5
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	4	7	9	5	6	5	9	5	10	4	11	10	5	5	9	8	7	5	4	4	5	7	8	0	7	5	1	4	8	4	9	4	7	10	5	7	5	4	8	4	7	10	9
5-Methylthioadenosine	8	4	6	7	7	6	4	7	7	6	8	3	6	6	6	4	4	6	5	5	6	4	5	7	0	7	5	5	5	5	4	8	4	5	5	4	6	8	3	5	4	5	6
Porphobilinogen	8	5	7	7	10	7	7	5	8	9	9	8	9	6	7	9	5	3	8	7	9	5	6	5	7	0	6	8	6	8	7	5	5	8	6	5	9	8	6	8	5	8	7
L-glutamine	6	3	5	5	8	5	5	4	6	7	7	6	7	4	5	7	3	4	6	5	7	3	4	1	5	6	0	6	4	6	5	6	3	6	4	3	7	6	4	6	3	6	5
N-Acetylmethionine	5	5	7	4	4	3	7	8	8	3	9	8	3	3	7	6	5	4	2	7	3	5	6	4	5	8	6	0	6	2	7	6	5	8	6	5	3	5	6	2	5	8	7
L-threonate	6	3	5	5	8	5	5	6	6	7	7	6	7	4	5	7	3	6	6	5	7	3	4	8	5	6	4	6	0	6	5	8	3	6	4	3	7	6	4	6	3	6	5
O-acetylcarnitine	2	5	7	1	4	3	7	8	8	3	9	8	3	3	7	6	5	4	2	7	3	5	6	4	5	8	6	2	6	0	7	6	5	8	6	5	3	2	6	2	5	8	7
N-benzoylglycinate	7	4	6	6	9	6	4	7	7	8	8	7	8	5	6	6	4	6	7	6	8	4	5	9	4	7	5	7	5	7	0	8	4	7	5	4	8	7	3	7	4	5	6
isovalvaleryl carnitine	2	7	9	1	8	9	8	6	7	2	11	11	7	8	9	10	7	4	6	2	2	7	8	4	8	5	6	6	8	6	8	0	7	10	7	7	7	2	7	6	7	9	9
L-tyrosine	5	2	4	4	7	4	4	5	5	6	6	5	6	3	4	6	2	5	5	4	6	2	3	7	4	5	3	5	3	5	4	7	0	5	3	2	6	5	3	5	2	5	4
Xanthine	8	5	1	7	10	7	7	8	8	9	9	3	9	6	7	4	5	8	8	7	9	5	6	10	5	8	6	8	6	8	7	10	5	0	6	5	9	8	6	8	5	8	7
N-acetylneuraminate	6	3	5	5	8	5	5	7	6	7	7	6	7	4	5	7	3	5	6	5	7	3	4	5	5	6	4	6	4	6	5	7	3	6	0	3	7	6	4	6	3	6	4
L-phenylalanine	5	2	4	4	7	4	4	5	5	6	6	5	6	3	4	6	2	5	5	4	6	2	3	7	4	5	3	5	3	5	4	7	2	5	3	0	6	5	3	5	2	5	4
choline	6	6	8	5	5	4	8	9	9	4	10	9	4	4	8	7	6	5	3	8	4	6	7	5	6	9	7	3	7	3	8	7	6	9	7	6	0	6	7	3	6	9	8
tiglyl carnitine	2	5	7	1	7	7	7	8	8	2	9	8	4	6	7	9	5	5	5	2	2	5	6	4	8	8	6	5	6	2	7	2	5	8	6	5	6	0	6	5	5	8	7
creatine	6	3	5	5	8	5	3	6	6	8	7	6	7	4	5	5	3	5	6	5	7	3	4	8	3	6	4	6	4	6	3	7	3	6	4	3	7	6	0	6	3	2	5
N-acetyl-L-alanine	5	5	7	4	4	3	7	8	8	3	9	8	3	3	7	6	5	4	2	7	3	5	6	4	5	8	6	2	6	2	7	6	5	8	6	5	3	5	6	0	5	8	7
L-tryptophan	5	2	4	4	7	4	4	5	5	6	6	5	6	3	4	6	2	5	5	4	6	2	3	7	4	5	3	5	3	5	4	7	2	5	3	2	6	5	3	5	0	5	4
creatinine	8	5	7	7	10	7	5	8	8	9	9	8	9	6	7	7	5	7	8	7	9	5	6	10	5	8	6	8	6	8	5	9	5	8	6	5	9	8	2	8	5	0	7
dopamine 3-O-sulfate	7	4	6	6	9	6	6	7	7	9	8	7	8	5	6	5	4	7	7	6	8	4	5	9	6	7	5	7	5	7	6	9	4	7	4	4	8	7	5	7	4	7	0
